[20:37:19.481] [INFO   ] thread bguspl.set.Main.main() starting.
[20:37:19.492] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:37:27.788] [SEVERE ] updating countdown to 13168
[20:37:27.799] [SEVERE ] updating countdown to 13157
[20:37:27.810] [SEVERE ] updating countdown to 13146
[20:37:27.824] [SEVERE ] updating countdown to 13132
[20:37:27.846] [SEVERE ] updating countdown to 13110
[20:37:27.858] [SEVERE ] updating countdown to 13098
[20:37:27.869] [SEVERE ] updating countdown to 13087
[20:37:27.881] [SEVERE ] updating countdown to 13075
[20:37:27.892] [SEVERE ] updating countdown to 13064
[20:37:27.903] [SEVERE ] updating countdown to 13053
[20:37:27.913] [SEVERE ] updating countdown to 13043
[20:37:27.925] [SEVERE ] updating countdown to 13032
[20:37:27.937] [SEVERE ] updating countdown to 13019
[20:37:27.948] [SEVERE ] updating countdown to 13008
[20:37:27.960] [SEVERE ] updating countdown to 12996
[20:37:27.971] [SEVERE ] updating countdown to 12985
[20:37:27.985] [SEVERE ] updating countdown to 12971
[20:37:27.997] [SEVERE ] updating countdown to 12959
[20:37:28.008] [SEVERE ] updating countdown to 12948
[20:37:28.019] [SEVERE ] updating countdown to 12937
[20:37:28.030] [SEVERE ] updating countdown to 12926
[20:37:28.042] [SEVERE ] updating countdown to 12914
[20:37:28.062] [SEVERE ] updating countdown to 12894
[20:37:28.083] [SEVERE ] updating countdown to 12873
[20:37:28.095] [SEVERE ] updating countdown to 12861
[20:37:28.112] [SEVERE ] updating countdown to 12844
[20:37:28.123] [SEVERE ] updating countdown to 12833
[20:37:28.134] [SEVERE ] updating countdown to 12822
[20:37:28.146] [SEVERE ] updating countdown to 12810
[20:37:28.159] [SEVERE ] updating countdown to 12797
[20:37:28.171] [SEVERE ] updating countdown to 12785
[20:37:28.186] [SEVERE ] updating countdown to 12770
[20:37:28.199] [SEVERE ] updating countdown to 12757
[20:37:28.211] [SEVERE ] updating countdown to 12745
[20:37:28.222] [SEVERE ] updating countdown to 12734
[20:37:28.243] [SEVERE ] updating countdown to 12713
[20:37:28.295] [SEVERE ] updating countdown to 12661
[20:37:28.306] [SEVERE ] updating countdown to 12650
[20:37:28.317] [SEVERE ] updating countdown to 12639
[20:37:28.328] [SEVERE ] updating countdown to 12628
[20:37:28.344] [SEVERE ] updating countdown to 12612
[20:37:28.366] [SEVERE ] updating countdown to 12590
[20:37:28.384] [SEVERE ] updating countdown to 12572
[20:37:28.397] [SEVERE ] updating countdown to 12559
[20:37:28.408] [SEVERE ] updating countdown to 12548
[20:37:28.429] [SEVERE ] updating countdown to 12527
[20:37:28.460] [SEVERE ] updating countdown to 12496
[20:37:28.488] [SEVERE ] updating countdown to 12468
[20:37:28.499] [SEVERE ] updating countdown to 12457
[20:37:28.510] [SEVERE ] updating countdown to 12446
[20:37:28.522] [SEVERE ] updating countdown to 12434
[20:37:28.534] [SEVERE ] updating countdown to 12422
[20:37:28.547] [SEVERE ] updating countdown to 12409
[20:37:28.560] [SEVERE ] updating countdown to 12396
[20:37:28.572] [SEVERE ] updating countdown to 12384
[20:37:28.584] [SEVERE ] updating countdown to 12372
[20:37:28.597] [SEVERE ] updating countdown to 12359
[20:37:28.608] [SEVERE ] updating countdown to 12348
[20:37:28.619] [SEVERE ] updating countdown to 12337
[20:37:28.629] [SEVERE ] updating countdown to 12327
[20:37:28.649] [SEVERE ] updating countdown to 12307
[20:37:28.659] [SEVERE ] updating countdown to 12297
[20:37:28.670] [SEVERE ] updating countdown to 12286
[20:37:28.680] [SEVERE ] updating countdown to 12276
[20:37:28.691] [SEVERE ] updating countdown to 12265
[20:37:28.702] [SEVERE ] updating countdown to 12254
[20:37:28.712] [SEVERE ] updating countdown to 12244
[20:37:28.724] [SEVERE ] updating countdown to 12232
[20:37:28.735] [SEVERE ] updating countdown to 12221
[20:37:28.747] [SEVERE ] updating countdown to 12209
[20:37:28.829] [SEVERE ] updating countdown to 12127
[20:37:28.841] [SEVERE ] updating countdown to 12115
[20:37:28.852] [SEVERE ] updating countdown to 12104
[20:37:28.864] [SEVERE ] updating countdown to 12092
[20:37:28.880] [SEVERE ] updating countdown to 12076
[20:37:28.895] [SEVERE ] updating countdown to 12061
[20:37:28.906] [SEVERE ] updating countdown to 12050
[20:37:28.919] [SEVERE ] updating countdown to 12037
[20:37:28.940] [SEVERE ] updating countdown to 12016
[20:37:28.951] [SEVERE ] updating countdown to 12005
[20:37:28.963] [SEVERE ] updating countdown to 11993
[20:37:28.987] [SEVERE ] updating countdown to 11969
[20:37:29.029] [SEVERE ] updating countdown to 11927
[20:37:29.040] [SEVERE ] updating countdown to 11916
[20:37:29.051] [SEVERE ] updating countdown to 11905
[20:37:29.061] [SEVERE ] updating countdown to 11895
[20:37:29.073] [SEVERE ] updating countdown to 11883
[20:37:29.084] [SEVERE ] updating countdown to 11872
[20:37:29.096] [SEVERE ] updating countdown to 11860
[20:37:29.117] [SEVERE ] updating countdown to 11839
[20:37:29.129] [SEVERE ] updating countdown to 11827
[20:37:29.140] [SEVERE ] updating countdown to 11816
[20:37:29.178] [SEVERE ] updating countdown to 11778
[20:37:29.213] [SEVERE ] updating countdown to 11743
[20:37:29.224] [SEVERE ] updating countdown to 11732
[20:37:29.235] [SEVERE ] updating countdown to 11721
[20:37:29.246] [SEVERE ] updating countdown to 11710
[20:37:29.259] [SEVERE ] updating countdown to 11697
[20:37:29.280] [SEVERE ] updating countdown to 11676
[20:37:29.292] [SEVERE ] updating countdown to 11664
[20:37:29.308] [SEVERE ] updating countdown to 11648
[20:37:29.319] [SEVERE ] updating countdown to 11637
[20:37:29.330] [SEVERE ] updating countdown to 11626
[20:37:29.341] [SEVERE ] updating countdown to 11615
[20:37:29.353] [SEVERE ] updating countdown to 11603
[20:37:29.364] [SEVERE ] updating countdown to 11592
[20:37:29.377] [SEVERE ] updating countdown to 11579
[20:37:29.388] [SEVERE ] updating countdown to 11568
[20:37:29.399] [SEVERE ] updating countdown to 11557
[20:37:29.421] [SEVERE ] updating countdown to 11535
[20:37:29.433] [SEVERE ] updating countdown to 11523
[20:37:29.444] [SEVERE ] updating countdown to 11512
[20:37:29.456] [SEVERE ] updating countdown to 11500
[20:37:29.496] [SEVERE ] updating countdown to 11460
[20:37:29.508] [SEVERE ] updating countdown to 11448
[20:37:29.518] [SEVERE ] updating countdown to 11438
[20:37:29.530] [SEVERE ] updating countdown to 11426
[20:37:29.552] [SEVERE ] updating countdown to 11404
